,open,high,low,close,volume
2013,165.1800,166.7200,164.6042,166.5200,3146930
2014,164.8700,166.0000,164.2200,165.3600,3266336
2015,160.6000,165.1800,160.3900,164.7900,4435050
2016,160.1300,160.7900,158.9300,160.3500,2858962
2017,160.8500,161.1500,159.5875,159.8400,3447052
2018,159.0000,160.2900,158.4100,160.0200,2740782
2019,161.9500,162.1950,158.3000,159.8200,4634740
2020,163.3500,163.8000,162.2100,162.2200,4397777
2021,164.0000,164.4100,163.0300,163.5300,3148196
2022,163.2000,164.6600,162.7000,164.5200,4449355
2023,161.8300,163.1900,161.8300,163.1400,1605344
2024,161.9400,162.3800,161.3557,161.9800,2256035
2025,163.0000,163.0000,161.9500,162.6700,2770736
2026,160.6900,163.0000,160.3697,162.7700,4637097
2027,159.8000,160.7200,159.2100,160.3900,2981633
2028,159.2200,159.9300,158.8500,159.8000,2260984
2029,158.4600,159.5500,158.0300,159.2900,2252806
2030,158.4200,159.1500,157.5500,158.6700,3476996
2031,161.2500,161.8600,157.5800,158.2100,5196498
2032,159.9700,161.3400,159.3300,161.2700,4446630
2033,157.6600,161.1600,157.5900,160.2200,7715807
2034,152.9600,155.5600,151.0000,154.8100,5403688
2035,154.5600,155.9300,153.0600,155.1700,3921044
2036,153.9900,156.1100,153.8400,155.7200,3804943
2037,152.4000,153.6400,151.8700,152.4300,2470353
2038,152.5100,153.7400,151.8000,152.3700,2878728
2039,152.4800,153.3450,151.6700,151.9500,3074338
2040,153.5000,153.9100,151.7400,152.7900,3191924
2041,152.7600,154.3300,152.7600,153.6900,3553172
2042,154.0500,154.4400,152.1800,152.6100,3654446
2043,152.8200,154.0600,152.0200,153.3500,4229336
2044,150.7100,152.9400,150.2550,151.8100,2811421
2045,150.6900,151.1600,149.8300,150.8800,2647416
2046,150.4000,151.5200,150.4000,150.5700,2666740
2047,150.5800,151.1500,149.5600,149.6300,4414171
2048,151.2800,152.9000,151.0200,151.5200,4023075
2049,151.2700,152.4500,150.8300,151.2600,4632854
2050,150.0200,151.0000,147.7900,150.7200,12770570
2051,154.4500,155.8900,154.3400,154.7700,5890421
2052,154.4700,155.5300,154.0900,154.4500,4358147
2053,153.7000,154.2200,152.2700,153.7200,2909948
2054,154.9700,154.9700,153.0800,154.2900,2963843
2055,156.7300,156.9500,153.8900,154.7900,2901226
2056,156.7100,158.4900,156.6550,157.0200,2481288
2057,157.1400,157.7000,154.8600,155.6700,2671256
2058,156.8400,157.4300,155.8900,156.8800,1950106
2059,157.0700,157.8300,156.7200,157.0800,1684458
2060,157.6700,158.5300,155.8200,156.4600,2884146
2061,158.0600,158.3700,157.0200,157.6100,2227800
2062,158.9000,159.8380,158.0600,158.8500,3596878
2063,158.6300,165.0000,157.4600,158.1100,3374838
2064,156.9900,158.6250,156.2300,158.2900,3309408
2065,154.3200,156.7700,153.8100,156.7700,2987195
2066,154.4600,154.4600,153.4600,153.9800,2533325
2067,155.6200,156.0400,154.7100,154.9800,2702143
2068,156.1500,157.2200,155.6900,156.1100,2690915
2069,154.9100,155.6800,153.8700,155.5300,2473895
2070,155.8700,156.5700,154.4500,154.4500,2159092
2071,154.8700,156.1900,154.5500,154.8700,2450117
2072,155.0400,155.4000,153.4700,153.8400,6463213
2073,154.3000,156.3300,153.2100,155.6600,3662573
2074,155.7000,155.8700,153.3900,154.0500,3860553
2075,157.6300,157.9300,155.5000,155.8100,3636719
2076,155.2600,158.5300,154.8400,158.2900,4367529
2077,158.0300,158.4000,155.6500,155.6900,5185972
2078,160.5500,161.2100,158.7600,159.0000,3963164
2079,160.1900,161.7600,160.0000,161.6400,2866227
2080,159.8800,160.8600,159.1100,160.3500,2994056
2081,159.8800,160.5700,159.1500,159.5500,2315366
2082,158.3200,159.6200,158.1000,159.5400,2358385
2083,159.6600,159.6600,158.2600,158.8800,2323649
2084,159.7600,160.1500,158.8100,159.4000,1813343
2085,158.8300,160.2100,158.5000,159.7200,2475853
2086,158.8800,160.4400,157.8500,158.3200,2498909
2087,159.0000,159.5400,158.4200,158.6300,2575023
2088,159.8900,160.1800,158.3200,159.0500,3620365
2089,160.3300,161.3400,160.2300,160.2600,2838137
2090,160.0000,160.5700,159.1300,160.0000,2039331
2091,160.8400,160.9100,159.5200,160.0400,2815163
2092,160.8900,162.0000,160.4401,161.3600,3652013
2093,160.9700,161.1600,159.8400,160.4400,3225919
2094,161.1100,161.9300,160.6900,160.7000,2210229
2095,162.4000,162.9700,161.7800,161.8800,2970415
2096,163.1900,163.4600,161.5200,161.9500,2543079
2097,162.2500,164.9500,162.1800,163.5300,8768585
2098,162.1900,162.6600,161.9550,162.0800,2466675
2099,162.2200,162.7720,161.6450,161.7700,2737530
2100,162.7300,163.2700,161.5800,162.0400,3039081
2101,162.0000,163.5100,161.5700,163.5000,3812370
2102,160.8600,161.7000,160.1200,161.5500,2488878
2103,160.1300,160.8600,159.8000,160.6700,2861558
2104,161.2700,161.4499,160.3600,160.5800,3080899
2105,160.6500,161.6500,159.8400,161.4500,2823578
2106,161.3600,161.6700,160.0300,160.6200,3547395
2107,161.3800,161.8100,160.7100,161.3700,2340369
2108,162.1200,162.5700,161.1800,161.8300,2162680
2109,162.6500,163.6000,161.3700,162.1200,2892969
2110,162.0000,162.8800,161.7500,162.6500,2804578
2111,160.7800,162.1700,160.4790,162.0700,2520077
2112,160.7500,161.8500,159.8900,160.4500,4046030
2113,159.9700,161.7100,159.6000,161.3600,4373609
2114,161.7800,162.1400,157.8900,159.5800,7119917
2115,159.3000,160.7500,158.7300,159.8600,6716340
2116,159.9000,159.9800,158.5000,159.7800,4474358
2117,158.8100,161.4000,158.5800,160.2800,4637624
2118,157.7500,158.3400,157.0600,158.0200,2746089
2119,156.0000,157.1200,155.5200,157.0400,3843773
2120,154.6000,156.0400,154.5000,155.3300,2833612
2121,154.0000,154.6000,153.0800,154.4600,3040593
2122,152.7500,153.6891,151.8900,152.6000,2138421
2123,151.8500,152.4100,149.9200,152.3700,2569393
2124,151.1900,152.0000,150.7600,151.6800,2464820
2125,152.1900,152.9700,151.4000,152.3500,2658280
2126,148.8600,151.9100,148.6700,151.7800,3967126
2127,146.5000,148.4800,146.4500,148.4600,3367736
2128,144.7800,145.7300,144.2200,145.7000,3996007
2129,146.1800,146.6000,142.5000,143.5000,5166665
